fluid,family,Tr,T_K,p_ref_Pa,rho_ref_molm3,rhov_ref_molm3,hvap_ref_Jmol,p_srk_Pa,dev_p_srk,rho_srk_molm3,dev_rho_srk,dev_rhov_srk,hvap_srk_Jmol,dev_h_srk,p_pr_Pa,dev_p_pr,rho_pr_molm3,dev_rho_pr,dev_rhov_pr,hvap_pr_Jmol,dev_h_pr,dev_rho_prvt,dev_rho_prvtc,dev_rho_prvtz,rho_prvt_molm3,dev_rhov_prvt,p_srktwu_Pa,dev_p_srktwu,rho_srktwu_molm3,dev_rho_srktwu,dev_rhov_srktwu,hvap_srktwu_Jmol,dev_h_srktwu,p_prtwu_Pa,dev_p_prtwu,rho_prtwu_molm3,dev_rho_prtwu,dev_rhov_prtwu,hvap_prtwu_Jmol,dev_h_prtwu
methane,Alkanes,0.9725641025641025,185.33570821957218,3903076.493939826,15538.502465646217,5118.936472295859,3005.898244944344,3931980.8255630615,0.7405525274258522,13001.067348172295,-16.329984971742867,-0.16853601659631823,2659.4000754111034,-11.527275419785742,3922945.535303581,0.5090610290268517,14476.315081861118,-6.83584139548499,4.70690072847293,2659.5837846485124,-11.521163794493104,-12.072650400373433,-12.221604922254329,4.126378174460859,13662.593385515343,2.4477653347806387,3918308.528406756,0.39025713409871576,13060.409842408333,-15.948078836533009,-0.9755497229771294,2747.345413297785,-8.601516437937377,3917023.090381659,0.3573231645213131,14506.347224652156,-6.642565738082122,4.323853459556192,2697.5210613888325,-10.259069284004358
methane,Alkanes,0.985,187.70554261151767,4205793.939655506,14440.727278628932,6045.2731977933945,2379.805448895172,4225522.767943738,0.46908689705915435,11831.493783936625,-18.06857400148921,-1.293848245776717,1979.2540323471835,-16.831267309432587,4220108.962310934,0.3403643369318498,13095.489640852036,-9.315580938695069,4.459592597359739,1980.6179744516794,-16.773954132629456,-13.951641054155825,-14.084239187706771,0.2299226065135379,12426.008843105059,1.8143946994833817,4217199.637998205,0.2711901369003556,11876.893053241962,-17.75419046367028,-1.8697613797231394,2050.617663517912,-13.832550283893404,4216523.888618798,0.255123030686825,13118.252414092196,-9.157951943970913,4.184539180224507,2010.9910741564972,-15.497669143916676
ethane,Alkanes,0.5,152.66100000000776,12055.573190211058,19358.756758834534,9.563841229870727,15860.65546591148,11568.760899233863,-4.038068396220925,18660.177897033103,-3.6085936225353312,-4.1901938258779605,16081.491439570787,1.3923508655360324,12432.807662726984,3.1291292961684656,21006.60720706483,8.512170842160542,3.0196140637060482,15650.990527306774,-1.321918498610155,-0.7044713776789688,-1.3383594069092937,55.232886109347376,19222.37985839405,3.0151292912805756,12180.353899567404,1.0350458446693027,18636.52849599665,-3.730757464620192,0.8998420771705457,15894.83575461247,0.2155036327120967,12170.38841088982,0.9523829258652752,21017.240587173328,8.567098853504273,0.8341476672806495,15900.27220297683,0.24977994856830213
ethane,Alkanes,0.5124358974358975,156.45795307693103,16348.007560973143,19212.20503008226,12.676990424045204,15733.557632894182,15747.012392589057,-3.676259422700628,18525.493843910233,-3.574348624204151,-3.855591148595678,15958.30281309015,1.4284447639870823,16788.60302201073,2.6951018917400185,20862.938251864638,8.592107044442212,2.5681448026090443,15542.553037940948,-1.2139949489484845,-0.5735678716454663,-1.2043421676899655,54.89113466630177,19102.009994595053,2.5622522518291464,16518.64970351135,1.0438100294593273,18501.681641336138,-3.698291724628131,0.8852638199014427,15753.866782131363,0.12908173542848367,16507.783493909617,0.9773419319789175,20872.070232070953,8.639639226156994,0.8414007864198421,15761.002758255014,0.17443686927775137
ethane,Alkanes,0.5248717948717949,160.2549061538543,21813.223073070643,19064.534030587267,16.54913876330168,15604.687840965456,21086.7276712197,-3.3305275401865355,18387.615691213763,-3.550668158411066,-3.539809346879652,15833.196510750444,1.4643591215269685,22317.51683360958,2.311871835031615,20715.596846473374,8.66038904091299,2.166004782998547,15432.043154558341,-1.1063642423777795,-0.4517089458897976,-1.0791959043551271,54.523246629134945,18978.4178248789,2.158372703309307,22036.353609723574,1.022914109966604,18363.869280008083,-3.675226205135846,0.8384326122718173,15614.36379781669,0.06200673124541513,22026.003939416074,0.9754673375532374,20723.319327058398,8.700896092239992,0.8206387201030804,15622.385087727063,0.11340980955189697
ethane,Alkanes,0.5373076923076923,164.05185923077755,28673.833036335487,18915.65493858308,21.30323426140546,15473.732143756786,27813.466403807433,-3.000528849553518,18246.43291757539,-3.5379267764218456,-3.2426548792474725,15705.867296744917,1.5001885183969035,29239.808455476894,1.9738394180652534,20564.44318289625,8.716527393138614,1.8075010259514765,15319.166891195895,-0.9988879936974603,-0.3392975873066003,-0.9633175352640186,54.128407414572536,18851.474577753226,1.797745501938867,28954.814807886098,0.979923999677861,18222.97828359646,-3.6619226626604204,0.7666086851731465,15475.791128307637,0.013306321524260756,28947.065826178186,0.9528994240025692,20570.84843538774,8.750389569797496,0.7779244395072135,15483.930656407492,0.06590855105903407
ethane,Alkanes,0.5497435897435897,167.84881230770083,37174.619740131006,18765.473664367317,27.071574580373152,15340.360875402237,36176.14921594055,-2.6858930398488416,18101.828228759794,-3.536523764213216,-2.9638160576664783,15575.994952847665,1.5360399886241198,37797.70230198969,1.6760966654516922,20409.328685944816,8.759997487827453,1.4877407676546286,15203.61546584172,-0.891409339527233,-0.23676708883459607,-0.8571339309659473,53.70575209442008,18721.04319866617,1.4754217780598655,37517.02734445081,0.9210789692360166,18078.888046784723,-3.6587705158027104,0.6758057494112829,15337.615489754178,-0.01789648672777272,37514.67235189026,0.9147440219601134,20414.509081016055,8.78760347936219,0.7183793673097679,15345.151485904864,0.031228799254053995
ethane,Alkanes,0.5621794871794872,171.6457653846241,47581.97392121788,18613.890414172653,33.99558181104113,15204.23851809492,46446.57086249797,-2.3862041969923693,17953.677047438217,-3.546885428269994,-2.7027951682465035,15443.244742651388,1.5719710281578443,48254.95391475404,1.414359132410986,20250.09531996635,8.790236051609538,1.2026150185463265,15085.065592185672,-0.7838138409063866,-0.14458416728560428,-0.7611050044505144,53.254360959927446,18586.977675717866,1.1872325139770847,47987.14724166077,0.8515269272219353,17931.469970911556,-3.666189217174613,0.5710813797902271,15199.304426958197,-0.03245207664199251,47993.682740146956,0.8652621675820876,20254.143071553626,8.811981917182031,0.6464267752460156,15205.558985396925,0.008684863108619519
ethane,Alkanes,0.5746153846153846,175.4427184615474,60183.10737514873,18460.79919320072,42.22562817561256,15065.032332907402,58918.66583197481,-2.1009907901432836,17801.84693306672,-3.569467677091128,-2.458868752066149,15307.267720056732,1.6079314122692066,60896.218320266606,1.1849021697612467,20086.57480801797,8.8066372306137,0.948765737397344,14963.179602375021,-0.6760870357370415,-0.06325247459298233,-0.6757271916892382,52.77325452248329,18449.12228088138,0.929755677889431,60649.8386599692,0.7755187546417734,17780.586871717056,-3.684630954299059,0.45676567529423273,15060.324757919107,-0.031248356354417785,60669.40183069356,0.80802483745736,20089.581730862345,8.822925381591926,0.5659799132800516,15064.662759059043,-0.0024531898783325718
ethane,Alkanes,0.5870512820512821,179.23967153847067,75285.08088848036,18306.087233817034,51.920941531798825,14922.41839193664,73907.57050079587,-1.8297255863017323,17646.196920305923,-3.6047589257200077,-2.2310807819098697,15167.700817156754,1.6437176520439367,76026.26140274464,0.9844985294791587,19918.58774969781,8.808548191019142,0.7235303285460806,14837.605343879626,-0.5683599389147491,0.006683458022255096,-0.601537361635352,52.26138789529973,18307.310713472823,0.7002606054680303,75809.49050495056,0.6965651232373821,17626.09229997938,-3.7145837073336545,0.3366279274022327,14920.14094475999,-0.015261917450862746,75846.73446642424,0.7460356970006605,19920.645027709415,8.819786409133851,0.4805741244036437,14921.9693125739,-0.003009427499926501
ethane,Alkanes,0.5994871794871794,183.03662461539392,93213.6917442252,18149.634334026254,63.24962143615927,14776.084311425599,91748.5267246222,-1.57183455797819,17486.57676244754,-3.653283363046258,-2.0182668529992576,15024.166655448878,1.6789451034158642,93969.05484373026,0.8103563815257419,19745.942621407627,8.795264179998789,0.5248643088014479,14707.975800523456,-0.46093748158622444,0.06463378822442742,-0.5391172099828817,51.71764447813001,18161.365130245216,0.4966304623451174,93789.34276384153,0.6175605845500609,17467.829761690336,-3.7565747044153706,0.21398757847322225,14778.213323988339,0.014408503077462236,93849.24701376994,0.6818260897644519,19747.14058442962,8.801864660206524,0.39344865686131225,14776.980593122204,0.00606575922087797
ethane,Alkanes,0.6119230769230769,186.8335776923172,114312.2655602691,17991.31208941152,76.38879924360019,14625.728624681618,112795.67023507506,-1.3267126828086875,17322.8260638355,-3.715604633246551,-1.8191027153665336,14876.273031325103,1.713038803555257,115066.7932117634,0.6600583478913726,19568.434639787454,8.766022970076333,0.35124796532677155,14573.908392813019,-0.35430871991670043,0.10995837343968477,-0.48909820576904905,51.1408288452415,18011.095043545494,0.31726859850470696,114930.55829857643,0.5408804866887679,17305.631821846244,-3.8111743276846473,0.09178016355498969,14633.996137582419,0.0565271865283242,115018.17495764566,0.6175272565168365,19568.862546495126,8.76840137752958,0.30758828357400325,14629.192305843304,0.02368211014007515
ethane,Alkanes,0.6243589743589744,190.63053076924047,138940.39620577122,17830.98299867532,91.52497854641017,14471.05722766274,137420.7440580593,-1.093743928483775,17154.773282142563,-3.7923299942745383,-1.632167947313391,14723.612031129078,1.745240858999269,139678.86855694305,0.5315029835370217,19385.844465266946,8.719998592938689,0.20158530844145237,14435.00391520279,-0.24914083257878564,0.14196113941722568,-0.4521671751675324,50.5296587143934,17856.296065309532,0.1609970899525874,139591.27139497292,0.4684564079101618,17139.31907268994,-3.879000535398213,-0.02740915755185096,14486.935311166633,0.10972303719136715,139711.41110232647,0.5549249301213846,19385.590290072563,8.71857312360589,0.22573678572473843,14478.091954738782,0.048612392069003196
ethane,Alkanes,0.6367948717948718,194.42748384616374,167472.67508917497,17668.499418615673,108.85459477898597,14311.777625744277,166011.77290142214,-0.8723227159146619,16982.234577403437,-3.884115028405763,-1.4560152358865481,14565.75873217944,1.7746300499967085,168180.8338588184,0.4228503361914726,19197.936717908273,8.656294250326503,0.07510390951739761,14290.845067369526,-0.14626106499235,0.15988370483198633,-0.4290726233123409,49.882755850160265,17696.748470074373,0.02695604942102855,168145.6395472715,0.40183537865995334,16968.698943155432,-3.9607238785820447,-0.14133215739134933,14336.46592635344,0.17250338326074346,168302.50399943945,0.4955010779057627,19197.086939848028,8.651484684782135,0.15039412824232273,14323.156557100614,0.07950746339063337
ethane,Alkanes,0.6492307692307693,198.224436923087,200297.44742008825,17503.702338554107,128.58483510293567,14147.591810123095,198971.72961328778,-0.6618745390299534,16805.01247967639,-3.991668993015073,-1.2892369672933548,14402.269443507903,1.8001482994623694,200963.38227164737,0.33247295965905743,19004.458271689873,8.573934268924138,-0.028737077462017147,14140.994532518605,-0.04663180626803605,0.16289814168547237,-0.4206319134339342,49.19863572729089,17532.21554438977,-0.08548900542632581,200982.92009420833,0.34222736382776514,16793.564321092534,-4.057073205006492,-0.24807370726068723,14182.0093310307,0.24327476626077602,201179.6911800362,0.44046680140540984,19003.09766334311,8.566161008613562,0.08380736572034801,14163.849977605427,0.11491826807371554
ethane,Alkanes,0.6616666666666666,202.02139000001026,237815.62844480944,17336.419936536113,150.93476230371488,13978.188533915189,236717.21978024679,-0.4618740457663248,16622.894340788458,-4.115760914650641,-1.1305229982120402,14232.679433207673,1.8206286077413762,238431.36470570156,0.25891328712024514,18805.136285729117,8.471854942194366,-0.11032551853068907,13984.992547675572,0.04867593353656206,0.15009872983172684,-0.4277394438301939,48.47569574737806,17362.441682659148,-0.17682654781051838,238506.5887260599,0.29054452214473686,16613.691953270965,-4.168842159516537,-0.34604970302914717,14022.9698236539,0.32036547246490144,238744.98699758056,0.390789519952346,18803.347700258968,8.461538017035098,0.02796277196808188,13999.61982081984,0.1533194866606145
